image_path,label,source,source_type,source_name,source_url,license_type,license_url,attribution_note,permission_note,notes,reviewed,reviewer,privacy_checked,split,near_duplicate_group
datasets/raw/rice_clear_commons_0001.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_Field_in_Merced,_Banate,_Iloilo.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required as shown on the Commons file page",,clear rice field image from Iloilo,no,,yes,,group_001
datasets/raw/rice_clear_commons_0002.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_paddy_fields.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Attribution required as shown on the Commons file page",,clear rice paddy field image,no,,yes,,group_002
datasets/raw/rice_clear_commons_0003.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:NE_rice_paddy.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,"Attribution required as shown on the Commons file page",,clear rice paddy image,no,,yes,,group_003
datasets/raw/rice_clear_commons_0004.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rice_fields_bohol_philippines_2017.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required as shown on the Commons file page",,clear rice field image from Bohol,no,,yes,,group_004
datasets/raw/rice_clear_commons_0005.jpg,rice_clear,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:A_paddy_field_(rice_field)_in_bangladesh.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required as shown on the Commons file page",,clear paddy field image from Bangladesh,no,,yes,,group_005
datasets/raw/plant_not_rice_commons_0006.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sugar_cane_plant.jpg,Reusable with attribution,,"Use attribution exactly as shown on the Commons file page",,clear sugar cane plant image,no,,yes,,group_006
datasets/raw/plant_not_rice_commons_0007.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sugarcane_plantations_Bacolod_Philippines.jpg,CC0,https://creativecommons.org/publicdomain/zero/1.0/,"Public domain dedication via CC0",,clear sugarcane plantation image from Bacolod,no,,yes,,group_007
datasets/raw/plant_not_rice_commons_0008.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Vertical_houseplant_garden.jpg,CC0,https://creativecommons.org/publicdomain/zero/1.0/,"Public domain dedication via CC0",,clear houseplant garden image,no,,yes,,group_008
datasets/raw/plant_not_rice_commons_0009.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Epipremnum_aureum_(Marble_Queen)_houseplant.png,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required as shown on the Commons file page",,clear houseplant image of Epipremnum aureum,no,,yes,,group_009
datasets/raw/plant_not_rice_commons_0010.jpg,plant_not_rice,wikimedia commons,commons_file_page,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Basil_plant_in_a_pot_03.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Attribution required as shown on the Commons file page",,clear basil plant in pot image,no,,yes,,group_010
datasets/raw/non_plant_team_0011.jpg,non_plant,team capture,original_photo,Project Team,,,,Captured by project team,,own/team person photo for non-plant label,no,,yes,,group_011
datasets/raw/non_plant_team_0012.jpg,non_plant,team capture,original_photo,Project Team,,,,Captured by project team,,own/team hand photo for non-plant label,no,,yes,,group_012
datasets/raw/non_plant_team_0013.jpg,non_plant,team capture,original_photo,Project Team,,,,Captured by project team,,own/team table or chair photo for non-plant label,no,,yes,,group_013
datasets/raw/non_plant_team_0014.jpg,non_plant,team capture,original_photo,Project Team,,,,Captured by project team,,own/team tools or bag photo for non-plant label,no,,yes,,group_014
datasets/raw/non_plant_team_0015.jpg,non_plant,team capture,original_photo,Project Team,,,,Captured by project team,,own/team wall or floor photo for non-plant label,no,,yes,,group_015
datasets/raw/unusable_image_team_0016.jpg,unusable_image,team capture,original_photo,Project Team,,,,Captured by project team,,own/team very dark image for unusable label,no,,yes,,group_016
datasets/raw/unusable_image_team_0017.jpg,unusable_image,team capture,original_photo,Project Team,,,,Captured by project team,,own/team motion-blur image for unusable label,no,,yes,,group_017
datasets/raw/unusable_image_team_0018.jpg,unusable_image,team capture,original_photo,Project Team,,,,Captured by project team,,own/team blocked-lens image for unusable label,no,,yes,,group_018
datasets/raw/unusable_image_team_0019.jpg,unusable_image,team capture,original_photo,Project Team,,,,Captured by project team,,own/team out-of-focus image for unusable label,no,,yes,,group_019
datasets/raw/unusable_image_team_0020.jpg,unusable_image,team capture,original_photo,Project Team,,,,Captured by project team,,own/team too-far unusable image with no useful detail,no,,yes,,group_020
